SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,SAFE_DISTANCE
0,DC:A6:32:2C:42:BC,2020-07-12 00:44:58.632023,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-65,0
1,DC:A6:32:2C:42:BC,2020-07-12 00:44:59.130139,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-69,0
4,DC:A6:32:2C:42:BC,2020-07-12 00:45:00.051683,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-64,0
5,DC:A6:32:2C:42:BC,2020-07-12 00:45:01.150621,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-61,0
7,DC:A6:32:2C:42:BC,2020-07-12 00:45:02.015703,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-76,0
10,DC:A6:32:2C:42:BC,2020-07-12 00:45:03.066102,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-68,0
11,DC:A6:32:2C:42:BC,2020-07-12 00:45:04.350576,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-65,0
13,DC:A6:32:2C:42:BC,2020-07-12 00:45:05.354281,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-47,0
15,DC:A6:32:2C:42:BC,2020-07-12 00:45:06.039267,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-50,0
17,DC:A6:32:2C:42:BC,2020-07-12 00:45:07.016301,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-66,0
19,DC:A6:32:2C:42:BC,2020-07-12 00:45:08.091832,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-51,0
21,DC:A6:32:2C:42:BC,2020-07-12 00:45:09.343082,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-60,0
22,DC:A6:32:2C:42:BC,2020-07-12 00:45:10.236872,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-56,0
23,DC:A6:32:2C:42:BC,2020-07-12 00:45:11.013110,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-64,0
24,DC:A6:32:2C:42:BC,2020-07-12 00:45:12.040717,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-58,0
25,DC:A6:32:2C:42:BC,2020-07-12 00:45:13.039990,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-52,0
