SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,SAFE_DISTANCE
1,DC:A6:32:2C:42:BC,2020-07-12 00:43:26.660169,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-68,0
2,DC:A6:32:2C:42:BC,2020-07-12 00:43:27.085784,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-71,0
4,DC:A6:32:2C:42:BC,2020-07-12 00:43:28.011758,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-65,0
5,DC:A6:32:2C:42:BC,2020-07-12 00:43:29.087971,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-57,0
6,DC:A6:32:2C:42:BC,2020-07-12 00:43:30.084218,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-55,0
8,DC:A6:32:2C:42:BC,2020-07-12 00:43:31.073595,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-58,0
11,DC:A6:32:2C:42:BC,2020-07-12 00:43:32.071898,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-64,0
12,DC:A6:32:2C:42:BC,2020-07-12 00:43:33.170554,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-60,0
14,DC:A6:32:2C:42:BC,2020-07-12 00:43:34.173020,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-55,0
16,DC:A6:32:2C:42:BC,2020-07-12 00:43:35.024359,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-53,0
18,DC:A6:32:2C:42:BC,2020-07-12 00:43:36.316870,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-53,0
21,DC:A6:32:2C:42:BC,2020-07-12 00:43:37.208132,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-54,0
23,DC:A6:32:2C:42:BC,2020-07-12 00:43:38.009440,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-63,0
24,DC:A6:32:2C:42:BC,2020-07-12 00:43:39.263113,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-64,0
25,DC:A6:32:2C:42:BC,2020-07-12 00:43:40.364358,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-62,0
26,DC:A6:32:2C:42:BC,2020-07-12 00:43:41.039349,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-66,0
29,DC:A6:32:2C:42:BC,2020-07-12 00:43:42.147008,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-63,0
30,DC:A6:32:2C:42:BC,2020-07-12 00:43:43.754448,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-59,0
31,DC:A6:32:2C:42:BC,2020-07-12 00:43:44.005126,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-67,0
32,DC:A6:32:2C:42:BC,2020-07-12 00:43:45.043216,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-60,0
33,DC:A6:32:2C:42:BC,2020-07-12 00:43:46.079458,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-60,0
34,DC:A6:32:2C:42:BC,2020-07-12 00:43:47.083271,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-56,0
35,DC:A6:32:2C:42:BC,2020-07-12 00:43:48.189464,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-58,0
36,DC:A6:32:2C:42:BC,2020-07-12 00:43:49.009747,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-56,0
37,DC:A6:32:2C:42:BC,2020-07-12 00:43:50.110792,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-55,0
38,DC:A6:32:2C:42:BC,2020-07-12 00:43:51.030769,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-51,0
39,DC:A6:32:2C:42:BC,2020-07-12 00:43:52.044639,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-56,0
40,DC:A6:32:2C:42:BC,2020-07-12 00:43:53.084574,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-56,0
41,DC:A6:32:2C:42:BC,2020-07-12 00:43:54.250849,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-49,0
42,DC:A6:32:2C:42:BC,2020-07-12 00:43:55.072128,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-45,0
43,DC:A6:32:2C:42:BC,2020-07-12 00:43:56.083362,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-51,0
44,DC:A6:32:2C:42:BC,2020-07-12 00:43:57.097738,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-47,0
45,DC:A6:32:2C:42:BC,2020-07-12 00:43:58.174661,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-42,0
46,DC:A6:32:2C:42:BC,2020-07-12 00:43:59.132098,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-54,0
47,DC:A6:32:2C:42:BC,2020-07-12 00:44:00.334794,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-50,0
48,DC:A6:32:2C:42:BC,2020-07-12 00:44:01.143454,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-54,0
49,DC:A6:32:2C:42:BC,2020-07-12 00:44:02.073554,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-54,0
50,DC:A6:32:2C:42:BC,2020-07-12 00:44:03.005444,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-53,0
51,DC:A6:32:2C:42:BC,2020-07-12 00:44:04.379871,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-54,0
52,DC:A6:32:2C:42:BC,2020-07-12 00:44:05.126043,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-55,0
53,DC:A6:32:2C:42:BC,2020-07-12 00:44:06.147358,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-50,0
55,DC:A6:32:2C:42:BC,2020-07-12 00:44:07.009824,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-55,0
57,DC:A6:32:2C:42:BC,2020-07-12 00:44:08.042292,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-63,0
59,DC:A6:32:2C:42:BC,2020-07-12 00:44:09.020996,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-57,0
62,DC:A6:32:2C:42:BC,2020-07-12 00:44:10.096007,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-53,0
64,DC:A6:32:2C:42:BC,2020-07-12 00:44:11.609893,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-55,0
66,DC:A6:32:2C:42:BC,2020-07-12 00:44:12.044792,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-57,0
68,DC:A6:32:2C:42:BC,2020-07-12 00:44:13.124867,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-64,0
69,DC:A6:32:2C:42:BC,2020-07-12 00:44:14.167982,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-60,0
71,DC:A6:32:2C:42:BC,2020-07-12 00:44:15.014790,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-54,0
73,DC:A6:32:2C:42:BC,2020-07-12 00:44:16.134912,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-70,0
74,DC:A6:32:2C:42:BC,2020-07-12 00:44:17.037382,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-45,0
75,DC:A6:32:2C:42:BC,2020-07-12 00:44:18.083587,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-46,0
76,DC:A6:32:2C:42:BC,2020-07-12 00:44:19.226139,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-49,0
77,DC:A6:32:2C:42:BC,2020-07-12 00:44:20.031170,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-43,0
78,DC:A6:32:2C:42:BC,2020-07-12 00:44:21.114234,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-44,0
79,DC:A6:32:2C:42:BC,2020-07-12 00:44:22.550080,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-51,0
80,DC:A6:32:2C:42:BC,2020-07-12 00:44:23.034947,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-58,0
81,DC:A6:32:2C:42:BC,2020-07-12 00:44:24.224929,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-59,0
82,DC:A6:32:2C:42:BC,2020-07-12 00:44:25.182445,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-81,0
83,DC:A6:32:2C:42:BC,2020-07-12 00:44:26.315102,8b38b4b8-c572-11ea-a082-dca6322c42bb,1,1,1,-70,0
0,DC:A6:32:2C:42:BC,2020-07-14 20:00:55.985836,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-63,0
1,DC:A6:32:2C:42:BC,2020-07-14 20:00:56.079092,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-63,0
2,DC:A6:32:2C:42:BC,2020-07-14 20:00:57.340186,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-62,0
3,DC:A6:32:2C:42:BC,2020-07-14 20:00:58.036974,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-52,0
4,DC:A6:32:2C:42:BC,2020-07-14 20:00:59.307050,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-53,0
5,DC:A6:32:2C:42:BC,2020-07-14 20:01:01.311724,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-45,0
6,DC:A6:32:2C:42:BC,2020-07-14 20:01:02.915431,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-71,0
7,DC:A6:32:2C:42:BC,2020-07-14 20:01:03.004109,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-64,0
8,DC:A6:32:2C:42:BC,2020-07-14 20:01:04.476728,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-65,0
9,DC:A6:32:2C:42:BC,2020-07-14 20:01:05.316754,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-59,0
10,DC:A6:32:2C:42:BC,2020-07-14 20:01:06.815589,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-52,0
11,DC:A6:32:2C:42:BC,2020-07-14 20:01:07.074266,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-50,0
12,DC:A6:32:2C:42:BC,2020-07-14 20:01:09.079496,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-64,0
13,DC:A6:32:2C:42:BC,2020-07-14 20:01:11.084514,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-56,0
14,DC:A6:32:2C:42:BC,2020-07-14 20:01:12.107052,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-57,0
15,DC:A6:32:2C:42:BC,2020-07-14 20:01:14.112194,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-55,0
16,DC:A6:32:2C:42:BC,2020-07-14 20:01:15.082275,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-58,0
17,DC:A6:32:2C:42:BC,2020-07-14 20:01:17.087322,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-54,0
18,DC:A6:32:2C:42:BC,2020-07-14 20:01:18.066143,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-55,0
19,DC:A6:32:2C:42:BC,2020-07-14 20:01:19.327419,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-59,0
20,DC:A6:32:2C:42:BC,2020-07-14 20:01:20.234988,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-60,0
21,DC:A6:32:2C:42:BC,2020-07-14 20:01:22.240211,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-51,0
22,DC:A6:32:2C:42:BC,2020-07-14 20:01:23.553733,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-63,0
23,DC:A6:32:2C:42:BC,2020-07-14 20:01:24.473700,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-52,0
24,DC:A6:32:2C:42:BC,2020-07-14 20:01:25.022400,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-53,0
